trade_date,slug,side,entry_price,size,cost,hours_to_close_at_entry,trade_bought_timestamp,resolution,trade_resolved_timestamp,payout,pnl_no_fees,pnl_with_fees
2026-01-31,uel-por1-ran1-2026-01-29-total-1pt5,YES,0.86,1.3843,1.19,1.04,2026-01-31T18:46:42.360Z,YES,2026-01-31T18:47:42.965Z,1.38,0.19,0.18
2026-01-31,uel-not-ftc-2026-01-29-total-4pt5,NO,0.89,1.3376,1.19,1.04,2026-01-31T18:46:42.361Z,NO,2026-01-31T18:47:43.583Z,1.34,0.15,0.13
2026-01-31,uel-bet1-fey-2026-01-29-total-1pt5,YES,0.89,1.3376,1.19,1.04,2026-01-31T18:46:42.361Z,YES,2026-01-31T18:47:43.995Z,1.34,0.15,0.13
2026-01-31,uel-stu4-bra-2026-01-29-total-4pt5,NO,0.89,1.3376,1.19,1.04,2026-01-31T18:46:42.361Z,NO,2026-01-31T18:47:44.314Z,1.34,0.15,0.13
2026-01-31,uel-lil-scf-2026-01-29-total-4pt5,NO,0.88,1.3528,1.19,1.04,2026-01-31T18:46:42.362Z,NO,2026-01-31T18:47:45.041Z,1.35,0.16,0.15
2026-01-31,uel-gnk-mal2-2026-01-29-total-1pt5,YES,0.87,1.3684,1.19,1.04,2026-01-31T18:46:42.362Z,YES,2026-01-31T18:47:45.650Z,1.37,0.18,0.16
2026-01-31,uel-ast4-rbs1-2026-01-29-total-1pt5,YES,0.87,1.3684,1.19,1.04,2026-01-31T18:46:42.362Z,YES,2026-01-31T18:47:45.934Z,1.37,0.18,0.16
2026-01-31,uel-stu3-yob1-2026-01-29-total-1pt5,YES,0.91,1.3082,1.19,1.03,2026-01-31T18:46:42.363Z,YES,2026-01-31T18:47:46.211Z,1.31,0.12,0.10
2026-01-31,uel-pao2-rom1-2026-01-29-total-4pt5,NO,0.94,1.2665,1.19,1.03,2026-01-31T18:46:42.363Z,NO,2026-01-31T18:47:46.966Z,1.27,0.08,0.06
2026-01-31,uel-mta1-bol1-2026-01-29-mta1,NO,0.91,1.3082,1.19,1.03,2026-01-31T18:46:42.363Z,NO,2026-01-31T18:47:47.330Z,1.31,0.12,0.10
2026-01-31,uel-cel3-utr1-2026-01-29-utr1,NO,0.91,1.3082,1.19,1.03,2026-01-31T18:46:42.363Z,NO,2026-01-31T18:47:47.708Z,1.31,0.12,0.10
2026-01-31,uel-por1-ran1-2026-01-29-draw,NO,0.87,1.3684,1.19,1.03,2026-01-31T18:46:42.363Z,NO,2026-01-31T18:47:47.993Z,1.37,0.18,0.16
2026-01-31,uel-por1-ran1-2026-01-29-ran1,NO,0.93,1.2801,1.19,1.03,2026-01-31T18:46:42.363Z,NO,2026-01-31T18:47:48.562Z,1.28,0.09,0.08
2026-01-31,uel-gnk-mal2-2026-01-29-draw,NO,0.85,1.4006,1.19,1.03,2026-01-31T18:46:42.363Z,NO,2026-01-31T18:47:48.879Z,1.40,0.21,0.20
2026-01-31,uel-gnk-mal2-2026-01-29-mal2,NO,0.92,1.2940,1.19,1.03,2026-01-31T18:46:42.363Z,NO,2026-01-31T18:47:49.978Z,1.29,0.10,0.09
2026-01-31,uel-ast4-rbs1-2026-01-29-rbs1,NO,0.89,1.3376,1.19,1.03,2026-01-31T18:46:42.363Z,NO,2026-01-31T18:47:50.304Z,1.34,0.15,0.13
2026-01-31,uel-stu3-yob1-2026-01-29-draw,NO,0.88,1.3528,1.19,1.03,2026-01-31T18:46:42.364Z,NO,2026-01-31T18:47:50.912Z,1.35,0.16,0.15
2026-01-31,uel-stu3-yob1-2026-01-29-yob1,NO,0.94,1.2665,1.19,1.03,2026-01-31T18:46:42.364Z,NO,2026-01-31T18:47:50.933Z,1.27,0.08,0.06
2026-01-31,uel-pao2-rom1-2026-01-29-pao2,NO,0.87,1.3684,1.19,1.03,2026-01-31T18:46:42.364Z,NO,2026-01-31T18:47:51.669Z,1.37,0.18,0.16
2026-01-31,arg-rie-def-2026-01-29-total-3pt5,NO,0.87,1.3684,1.19,1.03,2026-01-31T18:46:42.364Z,NO,2026-01-31T18:47:52.390Z,1.37,0.18,0.16
2026-01-31,arg-rie-def-2026-01-29-total-4pt5,NO,0.96,1.2401,1.19,1.03,2026-01-31T18:46:42.364Z,NO,2026-01-31T18:47:52.414Z,1.24,0.05,0.04
2026-01-31,uel-por1-ran1-2026-01-29-total-1pt5,YES,0.86,1.3843,1.19,1.04,2026-01-31T18:51:00.713Z,YES,2026-01-31T18:52:01.271Z,1.38,0.19,0.18
2026-01-31,uel-not-ftc-2026-01-29-total-4pt5,NO,0.89,1.3376,1.19,1.04,2026-01-31T18:51:00.713Z,NO,2026-01-31T18:52:01.587Z,1.34,0.15,0.13
2026-01-31,uel-bet1-fey-2026-01-29-total-1pt5,YES,0.89,1.3376,1.19,1.04,2026-01-31T18:51:00.714Z,YES,2026-01-31T18:52:01.880Z,1.34,0.15,0.13
2026-01-31,uel-stu4-bra-2026-01-29-total-4pt5,NO,0.89,1.3376,1.19,1.04,2026-01-31T18:51:00.714Z,NO,2026-01-31T18:52:02.383Z,1.34,0.15,0.13
2026-01-31,uel-lil-scf-2026-01-29-total-4pt5,NO,0.88,1.3528,1.19,1.04,2026-01-31T18:51:00.714Z,NO,2026-01-31T18:52:03.106Z,1.35,0.16,0.15
2026-01-31,uel-gnk-mal2-2026-01-29-total-1pt5,YES,0.87,1.3684,1.19,1.04,2026-01-31T18:51:00.714Z,YES,2026-01-31T18:52:03.374Z,1.37,0.18,0.16
2026-01-31,uel-ast4-rbs1-2026-01-29-total-1pt5,YES,0.87,1.3684,1.19,1.04,2026-01-31T18:51:00.715Z,YES,2026-01-31T18:52:03.659Z,1.37,0.18,0.16
