trade_date,slug,side,entry_price,size,cost,hours_to_close_at_entry,trade_bought_timestamp,resolution,trade_resolved_timestamp,payout,pnl_no_fees,pnl_with_fees
2026-01-31,uel-stu3-yob1-2026-01-29-total-1pt5,YES,0.91,1.3082,1.19,1.03,2026-01-31T18:51:00.715Z,YES,2026-01-31T18:52:03.930Z,1.31,0.12,0.10
2026-01-31,uel-pao2-rom1-2026-01-29-total-4pt5,NO,0.94,1.2665,1.19,1.03,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:04.676Z,1.27,0.08,0.06
2026-01-31,uel-mta1-bol1-2026-01-29-mta1,NO,0.91,1.3082,1.19,1.03,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:05.026Z,1.31,0.12,0.10
2026-01-31,uel-cel3-utr1-2026-01-29-utr1,NO,0.91,1.3082,1.19,1.03,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:05.737Z,1.31,0.12,0.10
2026-01-31,uel-por1-ran1-2026-01-29-draw,NO,0.87,1.3684,1.19,1.03,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:06.018Z,1.37,0.18,0.16
2026-01-31,uel-por1-ran1-2026-01-29-ran1,NO,0.93,1.2801,1.19,1.03,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:06.040Z,1.28,0.09,0.08
2026-01-31,uel-gnk-mal2-2026-01-29-draw,NO,0.85,1.4006,1.19,1.03,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:06.363Z,1.40,0.21,0.20
2026-01-31,uel-gnk-mal2-2026-01-29-mal2,NO,0.92,1.2940,1.19,1.03,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:06.798Z,1.29,0.10,0.09
2026-01-31,uel-ast4-rbs1-2026-01-29-rbs1,NO,0.89,1.3376,1.19,1.03,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:07.092Z,1.34,0.15,0.13
2026-01-31,uel-stu3-yob1-2026-01-29-draw,NO,0.88,1.3528,1.19,1.03,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:07.556Z,1.35,0.16,0.15
2026-01-31,uel-stu3-yob1-2026-01-29-yob1,NO,0.94,1.2665,1.19,1.03,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:07.688Z,1.27,0.08,0.06
2026-01-31,uel-pao2-rom1-2026-01-29-pao2,NO,0.87,1.3684,1.19,1.03,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:08.100Z,1.37,0.18,0.16
2026-01-31,arg-rie-def-2026-01-29-total-3pt5,NO,0.87,1.3684,1.19,1.03,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:09.033Z,1.37,0.18,0.16
2026-01-31,arg-rie-def-2026-01-29-total-4pt5,NO,0.96,1.2401,1.19,1.03,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:09.061Z,1.24,0.05,0.04
