Date,market,side,,price,size,cost,hours_to_close_at_entry,Timestamp,Resolution,trade_resolved_timestamp,Payout,P&L,
2026-01-29,ucl-mnc-gal-2026-01-28-mnc,YES,0.8,0.9191,0.74,2.72,2026-01-29T08:05:57.546Z,YES,2026-01-29T08:08:35.744Z,0.92,0.18,0.17,
2026-01-29,ucl-mnc-gal-2026-01-28-gal,NO,0.93,0.7906,0.74,2.72,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:38.634Z,0.79,0.06,0.05,
2026-01-29,ucl-lev2-vil1-2026-01-28-vil1,NO,0.81,0.9078,0.74,2.72,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:45.424Z,0.91,0.17,0.16,
2026-01-29,ucl-liv1-qar1-2026-01-28-liv1,YES,0.89,0.8262,0.74,2.72,2026-01-29T08:05:57.546Z,YES,2026-01-29T08:08:46.345Z,0.83,0.09,0.08,
2026-01-29,ucl-liv1-qar1-2026-01-28-draw,NO,0.926,0.7941,0.74,2.72,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:47.526Z,0.79,0.06,0.05,
2026-01-29,ucl-fcb1-kob1-2026-01-28-fcb1,YES,0.88,0.8356,0.74,2.72,2026-01-29T08:05:57.546Z,YES,2026-01-29T08:08:48.469Z,0.84,0.1,0.09,
2026-01-29,ucl-fcb1-kob1-2026-01-28-draw,NO,0.916,0.8027,0.74,2.72,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:50.640Z,0.8,0.07,0.06,
2026-01-29,ucl-ars-kai1-2026-01-28-ars,YES,0.945,0.7781,0.74,2.72,2026-01-29T08:05:57.546Z,YES,2026-01-29T08:08:51.131Z,0.78,0.04,0.04,
2026-01-29,ucl-atm-bog1-2026-01-28-draw,NO,0.87,0.8452,0.74,2.71,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:51.835Z,0.85,0.11,0.1,
2026-01-29,ucl-atm-bog1-2026-01-28-bog1,NO,0.91,0.808,0.74,2.71,2026-01-29T08:05:57.546Z,YES,2026-01-29T08:08:52.966Z,0,-0.74,-0.74,
2026-01-29,arg-rac-ros-2026-01-28-total-3pt5,NO,0.81,0.9078,0.74,3.71,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:53.339Z,0.91,0.17,0.16,
2026-01-29,arg-rac-ros-2026-01-28-total-4pt5,NO,0.93,0.7906,0.74,3.71,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:54.018Z,0.79,0.06,0.05,
2026-01-29,spl-ahl-ett-2026-01-28-total-1pt5,YES,0.86,0.855,0.74,0.21,2026-01-29T08:05:57.546Z,YES,2026-01-29T08:08:55.602Z,0.85,0.12,0.11,
2026-01-29,spl-fay-kha-2026-01-28-total-4pt5,NO,0.92,0.7992,0.74,0.21,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:56.507Z,0.8,0.06,0.06,
2026-01-29,spl-ahl-ett-2026-01-28-draw,NO,0.84,0.8754,0.74,0.21,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:58.878Z,0.88,0.14,0.13,
2026-01-29,spl-ahl-ett-2026-01-28-ett,NO,0.91,0.808,0.74,0.21,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:09:00.310Z,0.81,0.07,0.06,
2026-01-29,dota2-vg-nem-2026-01-29,YES,0.84,3.5014,2.94,1.36,2026-01-29T11:54:39.706Z,STOP_LOSS,2026-01-29T11:56:40.979Z,2.14,-0.81,-0.83,
2026-01-29,highest-temperature-in-london-on-january-29-6c,NO,0.849,3.4643,2.94,0.33,2026-01-29T11:54:39.708Z,STOP_LOSS,2026-01-29T11:56:44.868Z,2.61,-0.33,-0.36,
2026-01-29,highest-temperature-in-seattle-on-january-29-54-55f,NO,0.9,3.268,2.94,0.34,2026-01-29T11:54:39.707Z,STOP_LOSS,2026-01-29T12:00:43.261Z,2.52,-0.42,-0.45,
